Index,Hogwarts House
191,Gryffindor
192,Ravenclaw
193,Ravenclaw
194,Gryffindor
195,Ravenclaw
196,Gryffindor
197,Hufflepuff
198,Gryffindor
199,Ravenclaw
200,Hufflepuff
201,Ravenclaw
202,Hufflepuff
203,Hufflepuff
204,Hufflepuff
205,Ravenclaw
206,Hufflepuff
207,Hufflepuff
208,Slytherin
209,Slytherin
210,Hufflepuff
211,Ravenclaw
212,Ravenclaw
213,Hufflepuff
214,Slytherin
215,Ravenclaw
216,Gryffindor
217,Slytherin
218,Ravenclaw
219,Hufflepuff
220,Hufflepuff
221,Ravenclaw
222,Hufflepuff
223,Slytherin
224,Hufflepuff
225,Ravenclaw
226,Ravenclaw
227,Ravenclaw
228,Ravenclaw
229,Ravenclaw
230,Hufflepuff
231,Hufflepuff
232,Hufflepuff
233,Hufflepuff
234,Gryffindor
235,Hufflepuff
236,Hufflepuff
237,Gryffindor
238,Gryffindor
239,Slytherin
240,Slytherin
241,Slytherin
242,Hufflepuff
243,Slytherin
244,Hufflepuff
245,Gryffindor
246,Hufflepuff
247,Gryffindor
248,Hufflepuff
249,Gryffindor
250,Slytherin
251,Hufflepuff
252,Slytherin
253,Hufflepuff
254,Gryffindor
255,Hufflepuff
256,Ravenclaw
257,Hufflepuff
258,Ravenclaw
259,Ravenclaw
260,Ravenclaw
261,Ravenclaw
262,Hufflepuff
263,Hufflepuff
264,Ravenclaw
265,Ravenclaw
266,Ravenclaw
267,Ravenclaw
268,Ravenclaw
269,Gryffindor
270,Ravenclaw
271,Hufflepuff
272,Slytherin
273,Slytherin
274,Gryffindor
275,Ravenclaw
276,Gryffindor
277,Ravenclaw
278,Ravenclaw
279,Slytherin
280,Hufflepuff
281,Ravenclaw
282,Gryffindor
283,Hufflepuff
284,Gryffindor
285,Hufflepuff
286,Ravenclaw
287,Gryffindor
288,Gryffindor
289,Slytherin
290,Hufflepuff
291,Hufflepuff
292,Hufflepuff
293,Ravenclaw
294,Hufflepuff
295,Slytherin
296,Slytherin
297,Gryffindor
298,Ravenclaw
299,Ravenclaw
300,Gryffindor
301,Ravenclaw
302,Hufflepuff
303,Hufflepuff
304,Hufflepuff
305,Ravenclaw
306,Gryffindor
307,Hufflepuff
308,Hufflepuff
309,Hufflepuff
310,Ravenclaw
311,Hufflepuff
312,Hufflepuff
313,Gryffindor
314,Ravenclaw
315,Slytherin
316,Ravenclaw
317,Hufflepuff
318,Ravenclaw
319,Hufflepuff
